instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
ESW Real - String Quartet WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String Quartet.wav	Echo Sound Works Core (free pack)	4.752	0.615	-3.991	0.001	0.064	2.394	0.003
ESW Real - String World Vio WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String World Vio.wav	Echo Sound Works Core (free pack)	2.970	0.507	-3.664	0.031	0.052	2.207	0.002
ESW Real - World Digidoo WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Digidoo.wav	Echo Sound Works Core (free pack)	4.340	0.619	-3.213	0.001	0.397	2.870	0.002
ESW Real - World Tambura WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Tambura.wav	Echo Sound Works Core (free pack)	7.937	0.698	-3.326	0.003	0.003	2.503	0.002
ESW Spectral - Throaty WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Throaty.wav	Echo Sound Works Core (free pack)	3.070	0.600	-2.136	0.035	0.433	2.660	0.004
ESW Vocal - Ahhh 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ahhh 02.wav	Echo Sound Works Core (free pack)	3.333	0.610	-3.526	0.003	0.287	2.207	0.004
ESW Vocal - Ahhh 03 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ahhh 03.wav	Echo Sound Works Core (free pack)	4.030	0.604	-2.632	0.035	0.094	2.248	0.005
ESW Vocal - Animal Ahh WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Animal Ahh.wav	Echo Sound Works Core (free pack)	8.240	0.689	-2.230	0.043	0.079	2.405	0.013
ESW Vocal - Ayee Ahh WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ayee Ahh.wav	Echo Sound Works Core (free pack)	9.331	0.503	-1.804	0.022	0.248	2.601	0.012
ESW Vocal - Digital Choir 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Choir 02.wav	Echo Sound Works Core (free pack)	8.087	0.527	-2.329	0.037	0.007	2.801	0.004
ESW Vocal - Digital Choir WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Choir.wav	Echo Sound Works Core (free pack)	3.359	0.416	-1.002	0.007	0.296	1.974	0.009
ESW Vocal - Formant Bot 03 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Formant Bot 03.wav	Echo Sound Works Core (free pack)	9.685	0.505	-2.420	0.008	0.001	2.759	0.010
ESW Vocal - Formant Bot 04 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Formant Bot 04.wav	Echo Sound Works Core (free pack)	3.990	0.504	-3.623	0.005	0.027	2.791	0.003
ESW Vocal - Fuzzy Vox WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Fuzzy Vox.wav	Echo Sound Works Core (free pack)	6.441	0.575	-1.996	0.095	0.400	2.511	0.005
ESW Vocal - Hummer WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Hummer.wav	Echo Sound Works Core (free pack)	1.803	0.511	-3.091	0.018	0.451	2.144	0.002
ESW Vocal - Phrase 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Phrase 01.wav	Echo Sound Works Core (free pack)	3.295	0.481	-2.770	0.013	0.115	2.221	0.001
ESW Vocal - Roniit WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Roniit.wav	Echo Sound Works Core (free pack)	2.271	0.485	-3.472	0.044	0.274	1.932	0.002
ESW Vocal - Serum Voice 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Serum Voice 02.wav	Echo Sound Works Core (free pack)	6.641	0.345	-4.337	0.001	0.092	2.418	0.007
ESW Vocal - Serum Voice 03 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Serum Voice 03.wav	Echo Sound Works Core (free pack)	2.235	0.667	-5.207	0.027	0.403	1.705	0.008
ESW Vocal - Simple Hum WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Simple Hum.wav	Echo Sound Works Core (free pack)	2.427	0.525	-4.106	0.002	0.333	2.364	0.003
ESW Vocal - Slow Ah WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Slow Ah.wav	Echo Sound Works Core (free pack)	4.046	0.456	-2.415	0.052	0.261	2.535	0.004
ESW Vocal - Swarm WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Swarm.wav	Echo Sound Works Core (free pack)	2.995	0.584	-2.599	0.016	0.072	2.281	0.003
ESW Vocal - Talking 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Talking 01.wav	Echo Sound Works Core (free pack)	11.182	0.437	-2.333	0.025	0.009	2.608	0.006
ESW Vocal - Vocoder 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Vocoder 01.wav	Echo Sound Works Core (free pack)	5.126	0.712	-2.143	0.030	0.049	2.506	0.005
ESW Vocal - Yelling WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Yelling.wav	Echo Sound Works Core (free pack)	5.054	0.566	-2.195	0.024	0.177	2.882	0.004
ESW Vocal Table 03 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal Table 03.wav	Echo Sound Works Core (free pack)	6.228	0.495	-3.853	0.027	0.012	2.434	0.005
Escape Artist WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Escape Artist.vital	other	1.609	0.644	-5.455	0.002	0.570	2.094	0.002
FF - Yippie YI WT.xrni	additive and organ	/home/meneses/.local/share/vital/Growl 2 - Talking Yoi/Presets/FF - Yippie YI.vital	user/Discord presets (third-party)	4.376	0.566	-2.597	0.196	0.181	2.403	0.000
FM FB2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM Feedback/FM FB2.vitaltable	Kimura Taro (CC0)	2.891	0.442	-3.086	0.015	0.144	1.549	0.004
FM8bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FM8bit.vitaltable	Kimura Taro (CC0)	5.579	0.601	-3.979	0.004	0.087	1.433	0.011
FMADDI02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FMADDI02.vitaltable	WaveEdit Online (CC0)	13.947	0.578	-2.684	0.015	0.115	2.231	0.150
FMAdditive1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FMAdditive1.vitaltable	Kimura Taro (CC0)	13.933	0.578	-2.377	0.002	0.115	2.233	0.021
FMAdditive2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FMAdditive2.vitaltable	Kimura Taro (CC0)	10.628	0.577	-2.571	0.004	0.193	2.463	0.012
FMFBNoise WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FMFBNoise.vitaltable	Kimura Taro (CC0)	2.854	0.651	-2.023	0.006	0.525	1.547	0.006
FMFeedback1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FMFeedback1.vitaltable	Kimura Taro (CC0)	12.748	0.617	-2.215	0.010	0.418	2.281	0.027
FX - Stairs To Bowser WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Stairs To Bowser.vital	other	4.288	0.690	-1.837	0.023	0.385	2.841	0.005
Flute - Martian WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Flute - Martian.vital	other	4.201	0.353	-4.022	0.011	0.148	4.125	0.003
Folding1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding1.vitaltable	Kimura Taro (CC0)	9.294	0.508	-3.434	0.009	0.056	1.484	0.003
Folding2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding2.vitaltable	Kimura Taro (CC0)	8.790	0.457	-3.416	0.010	0.099	1.480	0.002
Folding3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding3.vitaltable	Kimura Taro (CC0)	21.995	0.484	-2.949	0.151	0.042	1.655	0.010
Formant2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Formant/Formant2.vitaltable	Kimura Taro (CC0)	13.314	0.511	-2.196	0.005	0.001	2.445	0.013
Fourier2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/ck.fourier 1.0/Fourier2.vitaltable	Kimura Taro (CC0)	18.019	0.989	-2.266	0.005	0.055	2.453	0.016
Furious 808 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Furious 808.vital	other	3.074	0.457	-4.307	0.003	0.213	1.954	0.004
GRAV-C3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C3.vitaltable	WaveEdit Online (CC0)	18.139	0.469	-2.147	0.108	0.014	1.688	0.022
GRAV-C5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C5.vitaltable	WaveEdit Online (CC0)	21.645	0.499	-2.368	0.100	0.009	1.534	0.024
Gasbait WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Gasbait.vital	other	3.648	0.777	-2.462	0.000	0.399	2.512	0.005
Guitar - MultiVerse WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Guitar - MultiVerse.vital	other	1.746	0.298	-5.451	0.002	0.294	1.971	0.002
Guitar Mystic WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Guitar Mystic.vital	other	1.770	0.343	-5.730	0.001	0.306	1.862	0.003
Gutz WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/Gutz.vital	other	2.223	0.622	-3.684	0.005	0.426	2.586	0.001
HIENHARM WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HIENHARM.vitaltable	WaveEdit Online (CC0)	15.829	0.998	-2.235	0.095	0.059	1.790	0.155
Half Clip6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Half Clip/Half Clip6.vitaltable	Kimura Taro (CC0)	7.347	0.969	-2.088	0.011	0.001	1.697	0.010
ISOLDE WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ISOLDE.vitaltable	WaveEdit Online (CC0)	2.153	0.600	-2.779	0.115	0.525	1.775	0.015
Increase soul1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Increase soul1.vital	user/Discord presets (third-party)	3.472	0.822	-3.892	0.002	0.374	2.312	0.011
James Bond9 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Vocorder/James Bond9.vitaltable	Kimura Taro (CC0)	11.599	0.639	-1.889	0.020	0.217	2.651	0.004
Journey Strings V2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/Journey Strings V2.vital	other	1.998	0.390	-4.166	0.005	0.137	1.709	0.001
KUATO WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/KUATO.vitaltable	WaveEdit Online (CC0)	8.922	0.606	-1.939	0.014	0.085	2.722	0.022
Karplus FM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Karplus Strong/Karplus FM.vitaltable	Kimura Taro (CC0)	12.226	0.663	-1.576	0.008	0.485	2.920	0.016
Karplus SM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Karplus Strong/Karplus SM.vitaltable	Kimura Taro (CC0)	9.574	0.498	-2.935	0.002	0.002	2.228	0.010
Keys - Candy Canes WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Candy Canes.vital	other	4.105	0.510	-2.195	0.171	0.266	2.189	0.001
Keys - Lo-Fi Gallery WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Lo-Fi Gallery.vital	other	4.149	0.640	-2.902	0.005	0.215	2.316	0.001
Korgasmatron1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/Korgasmatron1.vitaltable	Kimura Taro (CC0)	9.844	0.937	-1.724	0.006	0.212	2.103	0.012
LD - Bassraiders _V3_ WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/LD - Bassraiders _V3_.vital	other	4.784	0.737	-3.262	0.020	0.602	3.055	0.004
LEAD - Clean Guitar WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/LEAD - Clean Guitar.vital	other	3.566	0.628	-3.774	0.044	0.183	2.144	0.004
Lost at Sea WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lost at Sea.vital	other	5.684	0.527	-4.373	0.017	0.275	3.127	0.006
Love Honk WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Love Honk.vital	other	2.539	0.487	-5.052	0.000	0.000	2.049	0.003
M1 Clav WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 Clav.vitaltable	Kimura Taro (CC0)	5.158	0.538	-3.190	0.006	0.014	1.583	0.004
M1 Guitar1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 Guitar1.vitaltable	Kimura Taro (CC0)	1.649	0.617	-3.298	0.001	0.600	1.648	0.003
M1 MuteTB WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 MuteTB.vitaltable	Kimura Taro (CC0)	4.246	0.407	-3.029	0.002	0.004	2.418	0.004
M1 PianoI WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Piano/M1 PianoI.vitaltable	Kimura Taro (CC0)	6.388	0.753	-2.340	0.003	0.001	2.391	0.010
M1-SCWs WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1-SCWs.vitaltable	Kimura Taro (CC0)	2.306	0.689	-2.902	0.008	0.537	2.319	0.002
M1PianoFFT1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Piano/M1PianoFFT1.vitaltable	Kimura Taro (CC0)	6.224	0.501	-2.651	0.002	0.005	2.212	0.008
MIXED_AS WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MIXED_AS.vitaltable	WaveEdit Online (CC0)	4.542	0.670	-2.676	0.127	0.477	2.248	0.039
MP P10-PS2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MP P10-PS2.vitaltable	Kimura Taro (CC0)	4.951	0.663	-2.370	0.077	0.328	1.798	0.001
MS 20 Saw MPS WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MS 20 Saw MPS.vitaltable	Kimura Taro (CC0)	5.176	0.657	-1.961	0.164	0.338	2.222	0.005
Melda CustumWave3 IcarusBell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Melda Oscillator/Melda CustumWave3 IcarusBell.vitaltable	Kimura Taro (CC0)	1.659	0.513	-3.673	0.004	0.503	1.942	0.002
Melda CustumWave3 IcarusDenoise WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Melda Oscillator/Melda CustumWave3 IcarusDenoise.vitaltable	Kimura Taro (CC0)	3.094	0.535	-4.697	0.004	0.314	2.375	0.004
Melody 20 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Melody 20.vital	user/Discord presets (third-party)	11.014	0.540	-5.135	0.043	0.002	2.759	0.009
Melody echo WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Melody echo.vital	user/Discord presets (third-party)	4.693	0.623	-1.970	0.123	0.540	2.529	0.003
Modulo10 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Modulo/Modulo10.vitaltable	Kimura Taro (CC0)	10.343	0.676	-1.959	0.138	0.192	1.520	0.017
MonoPoly P10 PS1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MonoPoly P10 PS1.vitaltable	Kimura Taro (CC0)	5.043	0.627	-2.314	0.081	0.199	2.037	0.001
No Contest WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/No Contest.vital	other	6.682	0.697	-1.917	0.107	0.039	2.279	0.003
OP1 Digital02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital02.vitaltable	Kimura Taro (CC0)	8.042	0.472	-2.193	0.007	0.404	2.318	0.017
OP1 Digital03I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital03I.vitaltable	Kimura Taro (CC0)	7.233	0.516	-1.816	0.005	0.382	2.455	0.010
OP1 Digital05 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital05.vitaltable	Kimura Taro (CC0)	13.264	0.456	-1.559	0.007	0.323	2.296	0.020
OP1 DrWave01 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave01.vitaltable	Kimura Taro (CC0)	7.383	0.906	-1.077	0.007	0.000	1.691	0.010
OP1 DrWave02I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave02I.vitaltable	Kimura Taro (CC0)	11.081	0.753	-1.368	0.006	0.001	1.785	0.012
OP1 DrWave03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave03.vitaltable	Kimura Taro (CC0)	7.318	0.684	-1.920	0.007	0.018	2.181	0.004
OP1 DrWave04 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave04.vitaltable	Kimura Taro (CC0)	4.510	0.744	-1.876	0.008	0.277	2.087	0.003
OP1 DrWave05I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave05I.vitaltable	Kimura Taro (CC0)	4.259	0.757	-1.852	0.007	0.366	2.314	0.004
OP1 DrWave09 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave09.vitaltable	Kimura Taro (CC0)	2.579	0.617	-2.087	0.009	0.554	2.546	0.002
OP1 Phase01 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Phase01.vitaltable	Kimura Taro (CC0)	6.076	0.500	-2.910	0.004	0.004	2.619	0.004
OP1 Phase02I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Phase02I.vitaltable	Kimura Taro (CC0)	4.745	0.507	-4.217	0.002	0.043	2.495	0.006
OP1 String03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String03.vitaltable	Kimura Taro (CC0)	10.638	0.461	-3.698	0.006	0.023	2.503	0.003
OP1 String05I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String05I.vitaltable	Kimura Taro (CC0)	4.342	0.630	-4.656	0.007	0.159	2.489	0.002
OP1 String06 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String06.vitaltable	Kimura Taro (CC0)	4.835	0.649	-2.855	0.008	0.179	2.548	0.003
OP1 String07I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String07I.vitaltable	Kimura Taro (CC0)	3.359	0.360	-4.832	0.002	0.111	2.273	0.003
Orchestra Horns WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Orchestra Horns.vital	other	1.530	0.500	-3.063	0.046	0.500	1.769	0.000
Over Clouds WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Over Clouds.vital	other	6.129	0.792	-2.147	0.006	0.238	2.586	0.006
PD PWM1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD PWM/PD PWM1.vitaltable	Kimura Taro (CC0)	1.530	0.547	-4.226	0.004	0.525	1.835	0.002
